latitude,longitude,mg,diff
23.4,123.19,5.6,0.63
24.85,122.33,5.1,0.63
24.98,123.98,5.1,2.53
24.59,122.08,5.9,0.57
20.74,121.98,5.2,1.23
24.39,121.89,5.5,1.2
24.55,122.89,5.1,0.33
24.59,122.28,5.5,1.43
24.8,122.18,5.2,0.8
22.57,121.95,5,1.6
24.78,122.96,5,0
23.48,123.89,5.2,0.03
24.83,123.03,5.1,0
24.78,122.96,5.1,0
24.82,122.98,5.1,0.07
24.77,122.01,6,1.4
24.02,122.25,5.8,0
23.99,122.49,5.1,0.27
24.26,123.41,5,0.4
24.75,122.92,5,0.1
23.42,121.57,5.9,0
24.83,122.9,5,0
24.73,122.88,5.1,0
24.29,122.93,5,0
24.74,122.87,5.3,0
24.78,122.9,5.1,0
24.95,122.91,5,0
24.79,122.88,5.3,0
24.74,122.83,5.3,0
24.59,122.87,5,0
24.75,122.92,5.6,0
24.81,122.95,5.2,0
24.8,122.61,5,0
24.79,122.94,5,0
24.76,122.9,5,0
24.68,122.78,5.6,0
24.94,122.74,5,0
24.85,122.95,5.1,0
24.67,122.81,5.8,0
24.73,122.63,5.1,0
24.87,123.05,5,0
24.76,122.93,5.1,0
24.76,122.93,5.3,0
24.84,123.06,5.4,0
24.92,123.19,5.1,0
24.73,123.02,5.4,0
24.7,122.85,5.1,0
24.62,123.16,5,0
24.81,123.21,5.3,0
24.7,122.98,5,0
24.76,123.16,5,0.03
24.77,123.01,5,0.03
24.77,122.68,5.1,0
24.71,123.03,5.1,0.03
24.81,122.9,5,0
24.82,123.16,5.2,0.03
24.71,122.85,5,0.13
24.81,122.9,5,0.7
24.82,123.38,5,0
24.9,123.4,5.1,0.6
24.05,120.92,5,0.4
24.13,121.62,6.2,0
24.05,121.59,5.5,0.07
23.98,121.73,5,0.37
23.91,123.36,5.3,0.07
23.95,121.74,5.3,0.07
21.62,121.01,5,1
24.86,122.95,5,0.8
24.61,121.78,5.5,0.03
24.83,122.76,5.3,0.37
22.27,121.65,5.5,3.17
23.9,121.57,7.4,0
24.04,121.96,5.3,0
23.87,121.71,6.3,0
23.96,121.81,5,0.03
23.88,121.8,5.3,0
23.96,121.84,5.4,0
23.98,121.81,5,0
23.88,121.68,5.8,0.03
23.82,121.79,5,0.03
23.98,122.08,5,0.03
24.01,121.79,5.2,0.3
23.95,122.53,5,0.1
23.95,121.96,5.1,0.33
24.97,121.81,5.2,0.37
25.52,122.51,5.1,0.53
23.98,121.73,5.7,0.87
24.11,122.49,5.2,0.1
24.52,121.87,5,2.2
23.99,122.03,5.3,0.23
24.01,121.87,5,0.87
22.51,121.41,5,0.97
25.45,122.15,5.4,0.3
22.17,123.82,5.1,0.2
24.29,121.65,5.2,0.73
22.39,120.47,5.1,1.5
24.51,123.26,5,1.4
21.26,121.82,5.3,0.9
24.4,121.71,5,0.27
24.97,123.93,5.1,1
23.27,121.05,5.2,1.87
23.86,122.48,5.7,0.07
23.99,122.59,5,0
24.01,122.54,5.1,0
23.98,122.51,5.1,1.77
23.99,121.65,5.6,0.13
23.32,121.43,5,0.43
23.48,121.85,5.5,0.9
23.96,123.87,5.3,2
23.9,121.6,5.9,0.67
24.21,122.31,5.2,0.07
21.89,121.35,5.4,0.27
24.7,122.51,5.6,0.3
24.07,122.4,5,0.7
24.55,122.32,5.4,0.93
21.86,121.7,6,0
